Property Class Name,Period,Slice,As Of,Geography Name,Inventory SF,Market Asking Rent/SF,Net Absorption SF 12 Mo,Net Delivered SF 12 Mo,Vacancy Rate,Existing Buildings
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Grand Prairie,4902398,25.04,-9044,-2129,33.2557857036591%,170
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - HEB/Mid-Cities,10127006,28.01,90555,7512,12.0450705289841%,586
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Hood County,983363,26.47,-15839,4792,9.74289253354073%,162
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Hunt County,1340463,28.45,-11873,-479,5.68072386085987%,170
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Johnson County,1819379,27.26,-30660,16822,7.45512619614601%,305
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Las Colinas (Cluster),44751312,29.05,-20303,-103635,24.0741550922394%,505
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - LBJ Freeway (Cluster),23198096,27.38,177262,-3023,23.1315404176712%,259
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Lewisville,9499054,28.26,21788,29986,16.5478155016899%,597
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Lewisville/Denton (Cluster),15394202,27.73,98131,33627,12.6660734415054%,1215
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Mesquite/Forney/Terrell,2290690,24.65,-25081,5121,5.1443450152874%,301
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Mid-Cities (Cluster),48355817,27.83,280342,26301,13.9837503433228%,3061
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - North Fort Worth (Cluster),9278524,28.77,213545,146966,11.447736620903%,901
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Northeast Ft Worth (Cluster),5467694,24.23,-577536,-2116,19.7840631008148%,354
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Northwest Ft Worth,1753035,25.72,67816,56507,6.65035173296928%,245
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Office Ctr/West LBJ Ext,17520676,27.01,-379540,8149,26.4937609434128%,172
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Outlying Collin County,1456182,36.07,133685,86589,9.13670137524605%,204
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Outlying Denton County,583419,29.01,24220,-217,2.13705766946077%,100
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Outlying Kaufman County,167665,24.54,1308,-60,1.62347536534071%,42
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Parker County,1867801,27.14,49701,40152,4.47649396955967%,313
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Plano,11425537,29.36,29425,-187973,10.0554920732975%,428
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Preston Center (Cluster),7623442,49.27,237308,-3330,6.33502528071404%,174
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Preston Center,7623442,49.27,237308,-3330,6.33502528071404%,174
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Quorum/Bent Tree,25565935,29.54,-276295,29471,22.021709382534%,388
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Richardson,24050954,28.41,-522583,-13825,19.2421138286591%,432
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Richardson/Plano (Cluster),51421134,30.25,20917,498490,14.4478723406792%,2071
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Rockwall,2390364,31.2,24973,23455,5.30630499124527%,277
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - South Ft Worth (Cluster),23479022,28.26,271828,149063,8.30125287175179%,1917
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - South Irving,3078177,22.56,697,-1241,7.12831020355225%,233
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Southeast Dallas,1894425,25.9,10217,10707,4.4728085398674%,163
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Southeast Ft Worth,2595019,23.07,31603,-1017,8.18294584751129%,240
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Southwest Dallas (Cluster),8979470,26.82,50156,17374,7.483771443367%,1021
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Southwest Dallas,6623155,26.15,-15283,-7059,7.63394460082054%,678
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Stemmons Freeway (Cluster),16552233,23.88,203281,349269,17.3159658908844%,320
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Stemmons Freeway,16552233,23.88,203281,349269,17.3159658908844%,320
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Suburban (Location Type),159071168,29.65,1398467,1182679,12.0726361870766%,11408
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Upper Tollway/West Plano,42019348,37.13,491573,177988,23.195880651474%,499
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Uptown/Turtle Creek (Cluster),18022775,54.21,303092,264070,18.7650009989738%,303
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Uptown/Turtle Creek,18022775,54.21,303092,264070,18.7650009989738%,303
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Urban (Location Type),207378490,30.78,-329972,422110,21.0679575800896%,3412
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Urban Center/Wingren,10366172,32.27,55263,28287,23.201747238636%,76
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - West LBJ Freeway,4987394,21.89,-22726,5735,25.1281142234802%,83
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - West Southwest Ft Worth,18081261,29.19,286724,128466,8.32496657967567%,1210
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Westlake/Grapevine,15130434,32.69,143059,25089,13.6774659156799%,994
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - White Rock,7430542,31.99,-66707,-3495,20.4537972807884%,283
Office,2025 Q3,All,2025 Q2,Dallas-Fort Worth - TX USA - Wise County,475266,26.19,63095,-173,12.9735767841339%,78
Office,2025 Q3,All,2025 Q2,Daphne-Fairhope-Foley - AL USA - Baldwin County (Cluster),5473958,26.28,-18130,-835,2.50117015093565%,886
Office,2025 Q3,All,2025 Q2,Daphne-Fairhope-Foley - AL USA - Baldwin County,5473958,26.28,-18130,-835,2.50117015093565%,886
Office,2025 Q3,All,2025 Q2,Daphne-Fairhope-Foley - AL USA - Suburban (Location Type),5473958,26.28,-18130,-835,2.50117015093565%,886
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - CBD (Location Type),3521145,19.49,-20769,-890,2.23418809473515%,126
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Downtown Davenport (Cluster),1425235,19.21,-19617,-371,2.1802019327879%,44
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Downtown Davenport,1425235,19.21,-19617,-371,2.1802019327879%,44
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Downtown Moline (Cluster),902656,19.71,679,-220,3.54819558560848%,36
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Downtown Moline,902656,19.71,679,-220,3.54819558560848%,36
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Downtown Rock Island (Cluster),1193254,19.65,-1831,-299,1.30466772243381%,46
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Downtown Rock Island,1193254,19.65,-1831,-299,1.30466772243381%,46
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - East Moline (Cluster),306356,17.62,7032,-64,0.123712280765176%,35
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - East Moline,306356,17.62,7032,-64,0.123712280765176%,35
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Greater Davenport (Cluster),2796224,20.98,-86727,-634,4.88362163305283%,254
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Greater Davenport,2796224,20.98,-86727,-634,4.88362163305283%,254
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Greater Moline (Cluster),1093491,19.77,-1693,-229,0.652588810771704%,123
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Greater Moline,1093491,19.77,-1693,-229,0.652588810771704%,123
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Greater Rock Island (Cluster),970062,19.25,-7002,-217,1.73050798475742%,75
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Greater Rock Island,970062,19.25,-7002,-217,1.73050798475742%,75
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Henry County (Cluster),185422,20.11,-2233,-37,1.184325478971%,39
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Henry County,185422,20.11,-2233,-37,1.184325478971%,39
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Mercer County (Cluster),62654,18.46,-79,-10,0.110128638334572%,14
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Mercer County,62654,18.46,-79,-10,0.110128638334572%,14
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Outlying Rock Island Cnty (Cluster),372225,20.65,-488,-80,0.109611125662923%,41
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Outlying Rock Island Cnty,372225,20.65,-488,-80,0.109611125662923%,41
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Outlying Scott County (Cluster),2389940,21.15,35437,-621,2.32457723468542%,170
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Outlying Scott County,2389940,21.15,35437,-621,2.32457723468542%,170
Office,2025 Q3,All,2025 Q2,Davenport - IA USA - Suburban (Location Type),8176374,20.5,-55753,-1892,2.67952512949705%,751
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - Dayton CBD (Cluster),10785206,16.54,-286578,17296,14.7684335708618%,268
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - Dayton CBD,10785206,16.54,-286578,17296,14.7684335708618%,268
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - East Dayton (Cluster),6910250,19.27,-116895,-1852,7.87161067128181%,355
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - East Dayton,6910250,19.27,-116895,-1852,7.87161067128181%,355
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - North Dayton (Cluster),5869860,14.88,33857,-1214,4.67978790402412%,752
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - North Dayton,5869860,14.88,33857,-1214,4.67978790402412%,752
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - Northeast Central Dayton (Cluster),777285,16.36,2066,-176,5.57388849556446%,86
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - Northeast Central Dayton,777285,16.36,2066,-176,5.57388849556446%,86
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - South Central Dayton (Cluster),8979521,17.65,-5008,-2189,5.50695285201073%,449
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - South Central Dayton,8979521,17.65,-5008,-2189,5.50695285201073%,449
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - South Dayton (Cluster),6966914,18.15,61983,-37799,8.24413821101189%,546
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - South Dayton,6966914,18.15,61983,-37799,8.24413821101189%,546
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - Southeast Dayton (Cluster),1823237,16.02,16380,194162,1.67718175798655%,203
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - Southeast Dayton,1823237,16.02,16380,194162,1.67718175798655%,203
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - Suburban (Location Type),32117128,17.43,64993,150782,6.11514523625374%,2489
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - Urban (Location Type),10785206,16.54,-286578,17296,14.7684335708618%,268
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - West Dayton (Cluster),790061,15.67,72610,-150,0.329088512808084%,98
Office,2025 Q3,All,2025 Q2,Dayton - OH USA - West Dayton,790061,15.67,72610,-150,0.329088512808084%,98
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Coastal Daytona Beach (Cluster),589229,23.4,-17698,-2377,13.6834740638733%,99
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Coastal Daytona Beach,589229,23.4,-17698,-2377,13.6834740638733%,99
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - De Land (Cluster),1683804,24.23,81883,-249,2.83031761646271%,266
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - De Land,1683804,24.23,81883,-249,2.83031761646271%,266
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Deltona (Cluster),1609215,23.39,7487,-260,4.12530340254307%,289
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Deltona,1609215,23.39,7487,-260,4.12530340254307%,289
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Downtown Daytona Beach (Cluster),2528172,21.82,-32454,-396,4.89179529249668%,287
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Downtown Daytona Beach,2528172,21.82,-32454,-396,4.89179529249668%,287
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - North Daytona Beach (Cluster),2129153,27.58,6368,11541,3.39116081595421%,136
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - North Daytona Beach,2129153,27.58,6368,11541,3.39116081595421%,136
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - NW Volusia County (Cluster),21362,23.47,4336,-2,0.145117496140301%,7
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - NW Volusia County,21362,23.47,4336,-2,0.145117496140301%,7
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Ormond Beach (Cluster),1671594,25.03,-7659,-268,3.54733280837536%,217
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Ormond Beach,1671594,25.03,-7659,-268,3.54733280837536%,217
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - SE Volusia County (Cluster),87910,22.09,-139,-10,0.146740989293903%,24
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - SE Volusia County,87910,22.09,-139,-10,0.146740989293903%,24
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - South Beach Cities (Cluster),1571002,23.76,-11205,-1940,2.02297642827034%,363
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - South Beach Cities,1571002,23.76,-11205,-1940,2.02297642827034%,363
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - South Daytona Beach (Cluster),1108817,22.38,-18619,-165,4.55512478947639%,154
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - South Daytona Beach,1108817,22.38,-18619,-165,4.55512478947639%,154
Office,2025 Q3,All,2025 Q2,Daytona Beach - FL USA - Suburban (Location Type),13365863,24.11,7554,5795,4.26842607557774%,1877
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Arapahoe Rd,1814302,23.94,-27033,-466,7.14654996991158%,78
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Aurora (Cluster),9891302,23.74,-261526,-2494,12.6793727278709%,317
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Aurora,9891302,23.73,-260622,-2494,12.6702323555946%,317
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Broomfield (Cluster),7407406,29.3,-322370,140410,20.6819370388985%,146
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Broomfield County,7407406,29.3,-322370,140410,20.6819370388985%,146
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Capitol Hill,6523303,26.27,-203770,23437,12.9674032330513%,455
Office,2025 Q3,All,2025 Q2,Denver - CO USA - CBD,29898767,33.58,-208482,-7567,31.2416553497314%,133
Office,2025 Q3,All,2025 Q2,Denver - CO USA - CBD (Location Type),39244679,35.11,-640588,55108,29.6875834465027%,305
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Centennial,3460986,24.69,271601,-892,11.9685254991055%,85
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Cherry Creek,3972686,41.83,30153,-1382,5.81231452524662%,136
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Clear Creek County (Cluster),106183,25.42,831,-21,0.327736069448292%,14
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Clear Creek County,106183,25.42,831,-21,0.327736069448292%,14
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Colorado Blvd/Glendale (Cluster),15046994,31.34,-234834,-8946,15.149550139904%,510
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Colorado Blvd/I-25,5587429,27.36,-255524,-1395,19.7051629424095%,255
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Denver Tech Center,13100156,29.45,-310052,-3653,20.7620352506638%,109
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Downtown (Cluster),45839568,36.22,-188886,375479,28.8677185773849%,431
Office,2025 Q3,All,2025 Q2,Denver - CO USA - East Hampden,3728567,21.26,16957,-894,15.0004550814629%,138
Office,2025 Q3,All,2025 Q2,Denver - CO USA - East I-70/Montbello,3210534,26.3,-9982,11313,10.1743824779987%,97
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Elbert County (Cluster),63779,23.24,-2278,-7,3.56230102479458%,25
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Elbert County,63779,23.24,-2278,-7,3.56230102479458%,25
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Gilpin County (Cluster),24656,23.49,-81,-3,0.316353025846183%,5
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Gilpin County,24656,23.49,-81,-3,0.316353025846183%,5
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Glendale,5486879,27.16,-9463,-6169,17.2709301114082%,119
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Greenwood Village,9846091,28.02,-234053,-2635,24.1910830140114%,142
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Highlands Ranch,2309354,26.49,32780,-633,17.3110753297806%,44
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Inverness,6045471,25.17,-74129,-1753,24.1607815027237%,108
Office,2025 Q3,All,2025 Q2,Denver - CO USA - LoDo,9345912,40.03,-432106,62675,24.7159078717232%,172
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Lone Tree,3710570,29.71,151895,-896,8.87367725372314%,70
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Meridian,3497690,26.72,-4703,-1227,20.5855295062065%,39
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Midtown (Cluster),10244697,26.93,-214298,18827,10.4662150144577%,701
Office,2025 Q3,All,2025 Q2,Denver - CO USA - North Denver (Cluster),4951312,25.79,13014,-1191,8.15470740199089%,186
Office,2025 Q3,All,2025 Q2,Denver - CO USA - North Denver,4951312,25.79,13014,-1191,8.15470740199089%,186
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Northeast Denver (Cluster),5057480,25.41,-27713,10879,7.35937654972076%,284
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Northeast Denver,1846946,23.93,-17731,-434,2.46607102453709%,187
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Northwest Denver (Cluster),7493513,24.26,-36231,22422,13.0425870418549%,505
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Northwest Denver,7493513,24.26,-36231,22422,13.0425870418549%,505
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Outlying Adams County (Cluster),17462,22.36,-57,-1,0.320696365088224%,6
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Outlying Adams County,17462,22.36,-57,-1,0.320696365088224%,6
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Outlying Arapahoe County (Cluster),371023,29.14,8318,-87,3.04428562521935%,17
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Outlying Arapahoe County,371023,29.14,8318,-87,3.04428562521935%,17
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Outlying Douglas County (Cluster),110721,28.25,1737,-19,0.317916204221547%,22
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Outlying Douglas County,110721,28.25,1737,-19,0.317916204221547%,22
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Panorama/Highland Park,3977473,27.26,171837,-1147,17.2118082642555%,63
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Park County (Cluster),61621,23.77,-202,-6,0.318073388189077%,20
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Park County,61621,23.77,-202,-6,0.318073388189077%,20
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Parker/Castle Rock (Cluster),2724370,33.24,45003,59020,6.32759109139442%,197
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Parker/Castle Rock,2724370,33.24,45003,59020,6.32759109139442%,197
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Platte River,6594889,42.66,451702,320371,23.9888802170753%,126
Office,2025 Q3,All,2025 Q2,Denver - CO USA - South Midtown,3721394,28.09,-10528,-4610,6.08183369040489%,246
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Southeast Denver (Cluster),51490660,27.09,-4900,-14196,19.0310433506966%,876
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Southwest Denver (Cluster),10443610,22.28,-673773,-682993,8.92133116722107%,601
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Southwest Denver,10443610,22.28,-673773,-682993,8.92133116722107%,601
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Suburban (Location Type),113742482,26.27,-1519429,-550652,14.9724185466766%,3903
Office,2025 Q3,All,2025 Q2,Denver - CO USA - Urban (Location Type),35097114,31.75,-7412,341565,14.9883434176445%,1434
Office,2025 Q3,All,2025 Q2,Denver - CO USA - West Denver (Cluster),16737918,26.54,-269183,-71052,11.3472178578377%,779
Office,2025 Q3,All,2025 Q2,Denver - CO USA - West Denver,16737918,26.54,-269183,-71052,11.3472178578377%,779
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Ankeny (Cluster),1273142,22.88,55528,37365,3.5140622407198%,106
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Ankeny,1273142,22.88,55528,37365,3.5140622407198%,106
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - CBD (Cluster),15856708,20.76,-73061,-4282,13.4248927235603%,161
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - CBD,15856708,20.76,-73061,-4282,13.4248927235603%,161
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - CBD (Location Type),15856708,20.76,-73061,-4282,13.4248927235603%,161
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Guthrie County (Cluster),146012,20.16,-136,-28,0.0739665236324072%,47
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Guthrie County,146012,20.16,-136,-28,0.0739665236324072%,47
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Madison County (Cluster),70897,19.46,-4761,-13,6.69703930616379%,15
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Madison County,70897,19.46,-4761,-13,6.69703930616379%,15
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Northeast (Cluster),1059036,19.62,12489,-235,0.873719155788422%,140
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Northeast,1059036,19.62,12489,-235,0.873719155788422%,140
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Northwest (Cluster),3038197,19.1,-19361,-696,4.50339466333389%,265
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Northwest,3038197,19.1,-19361,-696,4.50339466333389%,265
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Outlying Dallas County (Cluster),388670,20.27,-417,-84,0.0859340827446431%,37
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Outlying Dallas County,388670,20.27,-417,-84,0.0859340827446431%,37
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Outlying Polk County (Cluster),92688,21.4,-98,-20,0.0841532892081887%,14
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Outlying Polk County,92688,21.4,-98,-20,0.0841532892081887%,14
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - South (Cluster),1303146,17.99,-16544,-299,3.55854220688343%,117
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - South,1303146,17.99,-16544,-299,3.55854220688343%,117
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Suburban (Location Type),27256984,20.68,85104,31093,9.1826006770134%,1443
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Warren County (Cluster),262131,19.38,-3511,-54,1.31918769329786%,35
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Warren County,262131,19.38,-3511,-54,1.31918769329786%,35
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Western Suburbs (Cluster),19623065,21.05,61915,-4843,11.5017049014568%,667
Office,2025 Q3,All,2025 Q2,Des Moines - IA USA - Western Suburbs,19623065,21.05,61915,-4843,11.5017049014568%,667
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Airport District,3121653,20.28,-254391,-1095,13.3677899837494%,225
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Auburn Hills,9677266,22.57,-113107,-213208,8.29576253890991%,70
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Birmingham,4587665,30.14,15835,87975,9.52626243233681%,255
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Bloomfield (Cluster),17884898,23.92,20188,83279,13.6215314269066%,797
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Bloomfield,2040024,26.28,-82666,-731,19.2948222160339%,55
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Bloomfield West,1237824,22.2,10287,-430,15.9628510475159%,79
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - CBD,27821532,25.55,-623221,-68440,11.1982762813568%,141
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - CBD (Location Type),37100183,25.16,-713484,-72583,10.138726234436%,269
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Central I-96 Corridor,6454480,23.2,12241,-2640,10.9466910362244%,343
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Dearborn,11102672,21.74,-16268,-4409,5.277369171381%,503
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Detroit E of Woodward,5825184,23.04,-226446,-2205,14.3191009759903%,282
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Detroit W of Woodward,5536744,21.93,-144505,-2421,9.03708040714264%,379
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Detroit-New Center,9278651,24.01,-90263,-4143,6.96172341704369%,128
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Detroit/The Pointes (Cluster),49810101,24.54,-1065569,-77627,10.4609943926334%,1122
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Downriver (Cluster),3834195,20.05,-161457,-1186,10.485877841711%,532
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Downriver North,829764,19.17,-42739,-253,10.514797270298%,90
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Downriver South,3004431,20.3,-118718,-933,10.4778908193111%,442
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Farmington/Farm Hills,10019385,20.79,76732,-3535,14.05228972435%,408
Office,2025 Q3,All,2025 Q2,Detroit - MI USA - Lakes Area,2479644,20.07,35653,-770,8.29687640070915%,348
