Property Class Name,Period,Slice,As Of,Geography Name,Inventory SF,Market Asking Rent/SF,Net Absorption SF 12 Mo,Net Delivered SF 12 Mo,Vacancy Rate,Existing Buildings
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Far Northeast Heights,2954906,20.27,103058,13060,5.01897521317005%,282
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Kirtland AF Base (Cluster),17985,21.48,-41,-2,0.216847378760576%,1
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Kirtland AF Base,17985,21.48,-41,-2,0.216847378760576%,1
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Los Lunas Corridor (Cluster),868463,18.17,-8093,-37,0.927615817636251%,183
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Los Lunas Corridor,868463,18.17,-8093,-37,0.927615817636251%,183
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Mesa Del Sol (Cluster),498606,23.87,-1148,-57,0.218810047954321%,6
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Mesa Del Sol,498606,23.87,-1148,-57,0.218810047954321%,6
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North I-25 (Cluster),7849568,22.31,4032,-767,6.63999617099762%,409
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North I-25,7849568,22.31,4032,-767,6.63999617099762%,409
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Outlying (Cluster),165931,21.16,2770,-15,0.223586917854846%,14
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Outlying,165931,21.16,2770,-15,0.223586917854846%,14
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Valley (Cluster),948204,18.69,12656,-42,3.61219719052315%,190
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - North Valley,948204,18.69,12656,-42,3.61219719052315%,190
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Northeast Heights (Cluster),1905325,18.14,-43073,-131,5.92114217579365%,240
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Northeast Heights,1905325,18.14,-43073,-131,5.92114217579365%,240
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Rio Rancho (Cluster),3425123,20.56,103956,-336,4.39373999834061%,191
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Rio Rancho,3425123,20.56,103956,-336,4.39373999834061%,191
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - SE Outlying (Cluster),53047,17.36,-130,-2,0.241295457817614%,12
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - SE Outlying,53047,17.36,-130,-2,0.241295457817614%,12
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - South Valley (Cluster),879061,18.99,-2122,-55,0.235137273557484%,119
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - South Valley,879061,18.99,-2122,-55,0.235137273557484%,119
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Southeast Heights (Cluster),2494760,17.59,-17569,-185,4.12107780575752%,244
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Southeast Heights,2494760,17.59,-17569,-185,4.12107780575752%,244
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Suburban (Location Type),28018757,20.19,190793,41210,4.83675263822079%,2245
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Torrance County (Cluster),98293,17.84,-236,-2,0.238063745200634%,22
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Torrance County,98293,17.84,-236,-2,0.238063745200634%,22
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - University (Cluster),3712978,18.77,-30330,-271,3.00957877188921%,398
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - University,3712978,18.77,-30330,-271,3.00957877188921%,398
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Uptown (Cluster),2365177,21.57,15382,30264,6.71332404017448%,118
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Uptown,2365177,21.57,15382,30264,6.71332404017448%,118
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - Urban (Location Type),12116516,19.48,-47031,-1075,3.63431200385094%,901
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - West Mesa (Cluster),708720,20.79,-3756,-59,1.52203971520066%,77
Office,2025 Q3,All,2025 Q2,Albuquerque - NM USA - West Mesa,708720,20.79,-3756,-59,1.52203971520066%,77
Office,2025 Q3,All,2025 Q2,Altoona - PA USA - Suburban (Location Type),712029,14.66,-7237,-115,4.0141623467207%,43
Office,2025 Q3,All,2025 Q2,Amarillo - TX USA - Suburban (Location Type),3263071,17.3,27396,-353,5.76340518891811%,95
Office,2025 Q3,All,2025 Q2,Ames - IA USA - Suburban (Location Type),2638813,20.94,19824,-595,0.830146018415689%,200
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Abbott/DeArmoun-30 (Cluster),155758,26.91,-228,-10,0.139960704836994%,23
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Abbott/DeArmoun-30,155758,26.91,-228,-10,0.139960704836994%,23
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Boniface/Muldoon-45 (Cluster),77904,25.72,-124,-7,0.150184845551848%,5
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Boniface/Muldoon-45,77904,25.72,-124,-7,0.150184845551848%,5
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - DeArmoun/Potter Marsh-25 (Cluster),900,28.6,-1,,0.111111113801599%,1
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - DeArmoun/Potter Marsh-25,900,28.6,-1,,0.111111113801599%,1
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Dimond South-20 (Cluster),439976,28.9,3084,-43,0.875729601830244%,32
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Dimond South-20,439976,28.9,3084,-43,0.875729601830244%,32
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Downtown-5 (Cluster),4597923,28.33,14916,-412,3.90635058283806%,200
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Downtown-5,4597923,28.33,14916,-412,3.90635058283806%,200
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - E Tudor/Abbott-35 (Cluster),351408,27.37,8783,-28,2.34399903565645%,44
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - E Tudor/Abbott-35,351408,27.37,8783,-28,2.34399903565645%,44
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Ft Rich/Birchwood-90 (Cluster),236331,25.35,283,-16,9.22138839960098%,22
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Ft Rich/Birchwood-90,236331,25.35,283,-16,9.22138839960098%,22
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Mat-Su Business Region (Cluster),1506805,27.08,-68157,-128,10.9642587602139%,135
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Mat-Su Business Region,1506805,27.08,-68157,-128,10.9642587602139%,135
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Outlying Anchorage (Cluster),13733,26.04,-20,-1,0.138352869544178%,1
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Outlying Anchorage,13733,26.04,-20,-1,0.138352869544178%,1
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Post Rd/Glenn (Cluster),291124,26.3,-444,-27,0.143237935844809%,11
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Post Rd/Glenn,291124,26.3,-444,-27,0.143237935844809%,11
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - S Birchwood/Eklutna-100 (Cluster),16636,23.06,-24,,0.14426545239985%,3
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - S Birchwood/Eklutna-100,16636,23.06,-24,,0.14426545239985%,3
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Seward Hwy/Boniface-40 (Cluster),2635281,29.3,-131798,-256,10.3092230856419%,86
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Seward Hwy/Boniface-40,2635281,29.3,-131798,-256,10.3092230856419%,86
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Spenard-10 (Cluster),5747209,30.97,92466,-540,4.41407300531864%,202
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Spenard-10,5747209,30.97,92466,-540,4.41407300531864%,202
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Suburban (Location Type),17560472,28.83,-69586,-1590,5.48968724906445%,861
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Turnagain Arm-101 (Cluster),2338,25.6,-3,,0.1283147954382%,1
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - Turnagain Arm-101,2338,25.6,-3,,0.1283147954382%,1
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - W Tudor/Dimond-15 (Cluster),1488046,24.9,11680,-122,3.97501140832901%,96
Office,2025 Q3,All,2025 Q2,Anchorage - AK USA - W Tudor/Dimond-15,1488046,24.9,11680,-122,3.97501140832901%,96
Office,2025 Q3,All,2025 Q2,Ann Arbor - MI USA - Suburban (Location Type),15283003,25.71,62309,-3613,8.9622437953949%,903
Office,2025 Q3,All,2025 Q2,Ann Arbor - MI USA - Washtenaw (Cluster),15283003,25.71,62309,-3613,8.9622437953949%,903
Office,2025 Q3,All,2025 Q2,Ann Arbor - MI USA - Washtenaw E of 23,4128602,26.18,-11222,-1274,7.95353949069977%,196
Office,2025 Q3,All,2025 Q2,Ann Arbor - MI USA - Washtenaw W of 23,11154401,25.54,73531,-2339,9.33559760451317%,707
Office,2025 Q3,All,2025 Q2,Appleton - WI USA - Calumet County (Cluster),450607,18.86,-2743,-102,5.97815848886967%,43
Office,2025 Q3,All,2025 Q2,Appleton - WI USA - Calumet County,450607,18.86,-2743,-102,5.97815848886967%,43
Office,2025 Q3,All,2025 Q2,Appleton - WI USA - Outagamie County (Cluster),7694456,18.62,-121911,39032,8.98333787918091%,521
Office,2025 Q3,All,2025 Q2,Appleton - WI USA - Outagamie County,7694456,18.62,-121911,39032,8.98333787918091%,521
Office,2025 Q3,All,2025 Q2,Appleton - WI USA - Suburban (Location Type),8145063,18.64,-124654,38930,8.81708338856697%,564
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Buncombe County (Cluster),1343366,29.04,6810,5598,2.12339740246534%,200
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Buncombe County,1343366,29.04,6810,5598,2.12339740246534%,200
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - CBD (Location Type),1751519,28.87,-31365,-338,6.79889842867851%,69
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Central Asheville (Cluster),3291592,28.12,-2448,25616,4.09224480390549%,280
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Central Asheville,3291592,28.12,-2448,25616,4.09224480390549%,280
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Downtown Asheville (Cluster),1751519,28.87,-31365,-338,6.79889842867851%,69
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Downtown Asheville,1751519,28.87,-31365,-338,6.79889842867851%,69
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - East Asheville (Cluster),139318,27.26,1136,-18,0.15288763679564%,25
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - East Asheville,139318,27.26,1136,-18,0.15288763679564%,25
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Haywood County (Cluster),1052298,26.61,1594,-146,1.98356360197067%,184
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Haywood County,1052298,26.61,1594,-146,1.98356360197067%,184
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Henderson County (Cluster),2316968,23.74,-29263,-2809,1.27584841102362%,332
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Henderson County,2316968,23.74,-29263,-2809,1.27584841102362%,332
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Madison County (Cluster),84132,25.85,-142,-11,0.155707693193108%,16
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Madison County,84132,25.85,-142,-11,0.155707693193108%,16
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - North Asheville (Cluster),907323,28.11,-2208,-126,1.58389024436474%,149
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - North Asheville,907323,28.11,-2208,-126,1.58389024436474%,149
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - S Asheville/Royal Pines (Cluster),2535664,28.35,11566,-459,0.909347645938396%,182
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - S Asheville/Royal Pines,2535664,28.35,11566,-459,0.909347645938396%,182
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Suburban (Location Type),9055817,26.85,-41942,1937,1.76083501428366%,1197
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - Urban (Location Type),3291592,28.12,-2448,25616,4.09224480390549%,280
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - West Asheville (Cluster),676748,26.28,-31435,-92,6.31342828273773%,109
Office,2025 Q3,All,2025 Q2,Asheville - NC USA - West Asheville,676748,26.28,-31435,-92,6.31342828273773%,109
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Barrow County,833335,22.95,-5604,-234,3.632752597332%,184
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Bartow County,1629556,22.3,11203,4517,1.21088195592165%,252
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Buckhead (Cluster),25120182,36.92,-251054,-7568,24.9970242381096%,410
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Butts County,323578,21.31,3581,-82,7.02952593564987%,63
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - CBD (Location Type),76384014,35.49,-92320,630654,21.4085325598717%,730
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Central Perimeter (Cluster),36231657,30.68,-167895,-138787,23.6159339547157%,672
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Central Perimeter,36231657,30.68,-167896,-138787,23.615936934948%,672
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Chamblee/Dville/N D Hills,11995830,26.64,172864,-4691,10.035228729248%,562
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Cherokee County,4674235,22.92,47663,59587,3.23306396603584%,634
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Cumberland/Galleria,30569882,29.46,-36094,-11919,17.4944341182709%,737
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Dawson County,555689,21.54,-1296,-197,2.28815041482449%,75
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Decatur,7530264,29.58,34644,-2583,6.88007771968842%,404
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Douglasville/Lithia Springs,2997344,21.59,40343,23722,6.03167340159416%,448
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Downtown Atlanta (Cluster),41334503,30.41,72435,13569,18.0033519864082%,412
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Downtown Atlanta,41334503,30.41,72435,13569,18.0033519864082%,412
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Duluth/Suwanee/Buford,15797405,24.79,-38121,-119032,9.00354236364365%,1050
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - East Cobb,3515564,22.15,3663,198,6.70913681387901%,391
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Fayette/Coweta County,6883189,23.91,7075,26856,5.40191456675529%,820
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Haralson County,220653,21.38,-687,-55,0.286422576755285%,43
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Heard County,12043,23.54,-37,-4,0.274018105119467%,1
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - I-20 East/Conyers,4476306,23.3,-48674,-1301,7.0589005947113%,633
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Jasper County,41665,22.58,-126,-12,0.273610954172909%,10
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Kennesaw/Town Center,12449886,24.35,-70212,11304,9.31366756558418%,1381
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Lamar County,233318,22.42,-707,-64,0.27558954898268%,34
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Lawrenceville/Lilburn,7969516,24.89,-32087,1265,3.58734466135502%,1129
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Lower Buckhead,3025456,30.55,6551,-1101,13.1740808486938%,60
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Meriwether County,103619,22.13,2774,-19,2.12991833686829%,38
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Midtown Atlanta (Cluster),39480509,41.15,93372,840099,25.9409844875336%,438
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Midtown/Pershing Point,35049511,41.37,-164755,617085,25.4243195056915%,318
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - N Fulton/Forsyth County,40289054,24.97,-17460,52131,18.989098072052%,2006
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Newton County,1099787,23.04,-11037,-403,2.14368775486946%,205
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Norcross/Peachtree Corners,10013756,23.95,65914,-3531,18.2545691728592%,451
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - North Clayton/Airport,14553195,22.95,-104218,126276,11.0395483672619%,1061
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - North Fulton (Cluster),40844743,24.92,-18756,51934,18.7618836760521%,2081
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Northeast Atlanta (Cluster),35882993,24.47,-36084,-112691,10.1013116538525%,3039
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Northlake (Cluster),31907148,26.13,90273,-11240,10.38548797369%,2396
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Northlake/Lavista,5491482,23.74,-39624,-1938,21.5923503041267%,338
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Northside Dr/Georgia Tech,4430998,39.33,258127,223014,30.0278395414352%,120
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Northwest Atlanta (Cluster),53237307,26.93,-35286,71548,13.0207091569901%,3470
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Pickens County,398184,22.37,8489,7861,4.41780686378479%,75
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Pike County,131086,22.02,-406,-41,0.27844316791743%,14
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - South Atlanta (Cluster),28378181,23.18,-71113,204402,8.27676057815552%,2892
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - South Clayton/Henry Cnty,4990774,23.59,8945,30942,6.16986453533173%,647
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Spalding County,1117757,20.88,11969,20546,3.25330086052418%,205
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Stone Mountain,1313479,23.8,-17900,-324,5.06456531584263%,254
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Suburban (Location Type),186419961,25.18,-160784,225904,12.6754567027092%,14373
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Upper Buckhead,22094726,37.79,-257605,-6467,26.6159534454346%,350
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Urban (Location Type),77778667,32.57,12042,71968,22.3327100276947%,1764
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Villa Rica/West Outlying,1506622,22.65,-13596,-4897,2.11891233921051%,234
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - W Carroll County,1029675,22.33,2734,-307,1.84436831623316%,155
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - Walton County,1268981,22.98,-26186,8841,4.58572655916214%,225
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - West Atlanta (Cluster),8165419,23.38,83046,17260,11.6480492055416%,1057
Office,2025 Q3,All,2025 Q2,Atlanta - GA USA - West Atlanta,2399082,26.71,54289,-1199,29.9590438604355%,176
Office,2025 Q3,All,2025 Q2,Atlantic City - NJ USA - Atlantic City/Hammonton (Cluster),7642652,22.96,-36953,-1215,6.55204504728317%,722
Office,2025 Q3,All,2025 Q2,Atlantic City - NJ USA - Atlantic City/Hammonton,7642652,22.96,-36953,-1215,6.55204504728317%,722
Office,2025 Q3,All,2025 Q2,Atlantic City - NJ USA - Suburban (Location Type),7642652,22.96,-36953,-1215,6.55204504728317%,722
Office,2025 Q3,All,2025 Q2,Auburn-Opelika - AL USA - Lee County (Cluster),1836936,23.28,-9386,-274,5.66339828073978%,274
Office,2025 Q3,All,2025 Q2,Auburn-Opelika - AL USA - Lee County,1836936,23.28,-9386,-274,5.66339828073978%,274
Office,2025 Q3,All,2025 Q2,Auburn-Opelika - AL USA - Suburban (Location Type),1836936,23.28,-9386,-274,5.66339828073978%,274
Office,2025 Q3,All,2025 Q2,Augusta - GA USA - Burke County (Cluster),98086,19.04,-160,-16,0.146809942089021%,11
Office,2025 Q3,All,2025 Q2,Augusta - GA USA - Burke County,98086,19.04,-160,-16,0.146809942089021%,11
Office,2025 Q3,All,2025 Q2,Augusta - GA USA - CBD (Location Type),4803646,21.3,-125921,-851,14.1315579414368%,371
Office,2025 Q3,All,2025 Q2,Augusta - GA USA - Downtown Augusta (Cluster),4803646,21.3,-125921,-851,14.1315579414368%,371
